1,3,0,0,10,205
1,3,0,1,10,203
1,3,0,0,50,178
1,3,0,1,50,149
1,3,0,0,100,170
1,3,0,1,100,154
1,3,2,0,10,206
1,3,2,1,10,173
1,3,2,0,50,135
1,3,2,1,50,121
1,3,2,0,100,117
1,3,2,1,100,167
1,3,5,0,10,214
1,3,5,1,10,192
1,3,5,0,50,178
1,3,5,1,50,169
1,3,5,0,100,172
1,3,5,1,100,172
2,3,0,0,10,202
2,3,0,1,10,203
2,3,0,0,50,175
2,3,0,1,50,175
2,3,0,0,100,169
2,3,0,1,100,169
2,3,2,0,10,202
2,3,2,1,10,204
2,3,2,0,50,174
2,3,2,1,50,180
2,3,2,0,100,173
2,3,2,1,100,172
2,3,5,0,10,195
2,3,5,1,10,214
2,3,5,0,50,180
2,3,5,1,50,180
2,3,5,0,100,173
2,3,5,1,100,173
3,3,0,0,10,184
3,3,0,1,10,165
3,3,0,0,50,153
3,3,0,1,50,174
3,3,0,0,100,170
3,3,0,1,100,172
3,3,2,0,10,186
3,3,2,1,10,191
3,3,2,0,50,174
3,3,2,1,50,173
3,3,2,0,100,160
3,3,2,1,100,172
3,3,5,0,10,191
3,3,5,1,10,195
3,3,5,0,50,164
3,3,5,1,50,174
3,3,5,0,100,162
3,3,5,1,100,166
1,3,0,0,10,214
1,3,0,1,10,229
1,3,0,0,50,185
1,3,0,1,50,204
1,3,0,0,100,178
1,3,0,1,100,177
1,3,2,0,10,202
1,3,2,1,10,192
1,3,2,0,50,178
1,3,2,1,50,170
1,3,2,0,100,172
1,3,2,1,100,173
1,3,5,0,10,184
1,3,5,1,10,188
1,3,5,0,50,178
1,3,5,1,50,164
1,3,5,0,100,141
1,3,5,1,100,144
2,3,0,0,10,207
2,3,0,1,10,195
2,3,0,0,50,170
2,3,0,1,50,175
2,3,0,0,100,171
2,3,0,1,100,169
2,3,2,0,10,224
2,3,2,1,10,224
2,3,2,0,50,180
2,3,2,1,50,180
2,3,2,0,100,173
2,3,2,1,100,173
2,3,5,0,10,216
2,3,5,1,10,194
2,3,5,0,50,170
2,3,5,1,50,178
2,3,5,0,100,173
2,3,5,1,100,173
3,3,0,0,10,164
3,3,0,1,10,195
3,3,0,0,50,157
3,3,0,1,50,166
3,3,0,0,100,169
3,3,0,1,100,160
3,3,2,0,10,185
3,3,2,1,10,188
3,3,2,0,50,174
3,3,2,1,50,173
3,3,2,0,100,170
3,3,2,1,100,160
3,3,5,0,10,195
3,3,5,1,10,164
3,3,5,0,50,174
3,3,5,1,50,172
3,3,5,0,100,169
3,3,5,1,100,170
1,3,0,0,10,202
1,3,0,1,10,184
1,3,0,0,50,173
1,3,0,1,50,146
1,3,0,0,100,165
1,3,0,1,100,173
1,3,2,0,10,194
1,3,2,1,10,192
